rid,singer,title,clean_title,occurrences,appeared
536321783,ProdbyMend,精卫,精卫,1,1
548191604,ProdbyMend,最真的梦 (有力量版),最真的梦 (有力量版),0,0
434778540,ProdbyMend,我是奶龙 (我才是奶龙),我是奶龙 (我才是奶龙),1,1
538063195,ProdbyMend,亲密爱人 (微醺R&B版),亲密爱人 (微醺R&B版),0,0
537317844,ProdbyMend,乌兰巴托的夜 (空灵女音),乌兰巴托的夜 (空灵女音),0,0
463342255,ProdbyMend,最后一页 (DJ版),最后一页 (DJ版),0,0
533660541,ProdbyMend,只要有你 (R&B版),只要有你 (R&B版),0,0
465012284,ProdbyMend,情非得已 (DJ版),情非得已 (DJ版),0,0
535064274,ProdbyMend,漫步人生路 (R&B版),漫步人生路 (R&B版),0,0
533110993,ProdbyMend,遗憾 (R&B版),遗憾 (R&B版),0,0
537302758,ProdbyMend,从开始到现在 (R&B版),从开始到现在 (R&B版),0,0
464088908,ProdbyMend,最后一页 (海潮声淹没了离别时的黄昏),最后一页 (海潮声淹没了离别时的黄昏),0,0
434774329,ProdbyMend,Counting Stars (燃尽小曲),Counting Stars (燃尽小曲),0,0
424389024,ProdbyMend,红色高跟鞋 (DJ版),红色高跟鞋 (DJ版),1,1
536204383,ProdbyMend,情歌 (深情男声),情歌 (深情男声),0,0
535968652,ProdbyMend,信仰 (心碎女声),信仰 (心碎女声),0,0
527197722,ProdbyMend,你那么爱她 (R&B版),你那么爱她 (R&B版),0,0
539156337,ProdbyMend,等你等你的一切 (别辜负眼前季节),等你等你的一切 (别辜负眼前季节),0,0
539699816,ProdbyMend,等你爱我 (R&B氛围版),等你爱我 (R&B氛围版),0,0
537515951,ProdbyMend,love story (微醺R&B版),love story (微醺R&B版),0,0
539697857,ProdbyMend,花香 (R&B版),花香 (R&B版),0,0
534762726,ProdbyMend,最美的梦 (烟嗓女声版),最美的梦 (烟嗓女声版),1,1
176704915,莫文蔚,这世界那么多人,这世界那么多人,0,0
1697454,莫文蔚,盛夏的果实,盛夏的果实,2,1
166739,莫文蔚,阴天,阴天,3,1
21762578,莫文蔚,一生所爱,一生所爱,1,1
320577,莫文蔚,电台情歌,电台情歌,1,1
41384797,莫文蔚,慢慢喜欢你,慢慢喜欢你,4,1
608747136,莫文蔚,忐白门 (Live),忐白门,0,0
166731,莫文蔚,忽然之间,忽然之间,1,1
162196353,莫文蔚,那么爱你为什么,那么爱你为什么,4,1
38000118,莫文蔚,一生所爱,一生所爱,1,1
166676,莫文蔚,盛夏的果实,盛夏的果实,2,1
467379433,莫文蔚,岁月里的花,岁月里的花,0,0
237919,莫文蔚,那么爱你为什么,那么爱你为什么,4,1
296297,莫文蔚,如果没有你,如果没有你,4,1
28667531,莫文蔚,阴天,阴天,3,1
166771,莫文蔚,他不爱我,他不爱我,9,1
3615944,莫文蔚,电台情歌,电台情歌,1,1
21766991,莫文蔚,广岛之恋,广岛之恋,0,0
166760,莫文蔚,是非题,是非题,1,1
6307314,莫文蔚,当你老了,当你老了,4,1
85688,莫文蔚,阴天,阴天,3,1
